"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"1"	0	0	20892.8890970516	20892.8890970516	255694.45244729	255694.45244729	255694.45244729	255694.45244729	1014944.35858407	1109756.33703996	1109756.33703996	1002610.61761713	1087594.03205608	1105976.66027331	1240201.02117751	1248968.66314471	269427.003190869	269427.003190869	269427.003190869	269427.003190869
"2"	0	0	20892.8890970516	20892.8890970516	255694.45244729	255694.45244729	255694.45244729	255694.45244729	1014944.35858407	1109756.33703996	1109756.33703996	1002610.61761713	1087594.03205608	1105976.66027331	1240201.02117751	1248968.66314471	269427.003190869	269427.003190869	269427.003190869	269427.003190869
"3"	20892.8890970516	20892.8890970516	0	0	270249.742512012	270249.742512012	270249.742512012	270249.742512012	1017518.52289428	1113598.16849224	1113598.16849224	1005014.67134901	1093985.6597921	1104228.82444947	1244332.72540092	1240905.70557689	250056.31948382	250056.31948382	250056.31948382	250056.31948382
"4"	20892.8890970516	20892.8890970516	0	0	270249.742512012	270249.742512012	270249.742512012	270249.742512012	1017518.52289428	1113598.16849224	1113598.16849224	1005014.67134901	1093985.6597921	1104228.82444947	1244332.72540092	1240905.70557689	250056.31948382	250056.31948382	250056.31948382	250056.31948382
"5"	255694.45244729	255694.45244729	270249.742512012	270249.742512012	0	0	0	0	1198198.31415334	1281173.44006126	1281173.44006126	1187385.40293719	1235935.29854276	1318710.84516109	1407372.75346666	1492574.45675662	433691.728159595	433691.728159595	433691.728159595	433691.728159595
"6"	255694.45244729	255694.45244729	270249.742512012	270249.742512012	0	0	0	0	1198198.31415334	1281173.44006126	1281173.44006126	1187385.40293719	1235935.29854276	1318710.84516109	1407372.75346666	1492574.45675662	433691.728159595	433691.728159595	433691.728159595	433691.728159595
"7"	255694.45244729	255694.45244729	270249.742512012	270249.742512012	0	0	0	0	1198198.31415334	1281173.44006126	1281173.44006126	1187385.40293719	1235935.29854276	1318710.84516109	1407372.75346666	1492574.45675662	433691.728159595	433691.728159595	433691.728159595	433691.728159595
"8"	255694.45244729	255694.45244729	270249.742512012	270249.742512012	0	0	0	0	1198198.31415334	1281173.44006126	1281173.44006126	1187385.40293719	1235935.29854276	1318710.84516109	1407372.75346666	1492574.45675662	433691.728159595	433691.728159595	433691.728159595	433691.728159595
"9"	1014944.35858407	1014944.35858407	1017518.52289428	1017518.52289428	1198198.31415334	1198198.31415334	1198198.31415334	1198198.31415334	0	115459.91995901	115459.91995901	14908.7436864369	209811.519683333	235669.290849183	241296.474759454	619027.467426502	1164506.70323285	1164506.70323285	1164506.70323285	1164506.70323285
"10"	1109756.33703996	1109756.33703996	1113598.16849224	1113598.16849224	1281173.44006126	1281173.44006126	1281173.44006126	1281173.44006126	115459.91995901	0	0	130354.478086319	139515.864752568	295523.844809378	131634.853333052	683690.58946237	1270300.44546453	1270300.44546453	1270300.44546453	1270300.44546453
